Task;Poço Recolhido;Duração Recolhimento;Escopo;Anuência;Plataforma;"Data lançamento linha
Informado ao Ibama";Restrição Precedente;Poço Demandante;Data Limite para recolhimento;Recurso;Início PLSV;Término PLSV;"Conflito
Precedência";Conflito Sucessão;Folga;Peso;Folga
171;7-MRL-21D-RJS;1;-;-;P-18;#N/D;01/01/1900;;31/12/2099;PLSV2;23/11/2024;23/11/2024;;Limite;-45620;133,6274555;73049,00
172;7-MRL-99D-RJS;1;-;-;P-33;#N/D;01/01/1900;;31/12/2099;PLSV1;23/11/2024;23/11/2024;;Limite;-45620;203,69083;73049,00
173;7-MRL-86D-RJS;1;-;-;P-37;#N/D;01/01/1900;;31/12/2099;PLSV2;24/11/2024;24/11/2024;;Limite;-45621;43,32056;73049,00
174;7-MRL-85D-RJS;1;-;-;P-37;#N/D;01/01/1900;;31/12/2099;PLSV1;24/11/2024;24/11/2024;;Limite;-45621;48,70086;73049,00
175;7-MRL-84HP-RJS;1;-;-;P-19;#N/D;01/01/1900;;31/12/2099;PLSV2;25/11/2024;25/11/2024;;Limite;-45622;150,7985;73049,00
176;7-MRL-78D-RJS;1;-;-;P-26;#N/D;01/01/1900;;31/12/2099;PLSV1;25/11/2024;25/11/2024;;Limite;-45622;149,20194;73049,00
177;7-MRL-71D-RJS;1;-;-;P-35;#N/D;01/01/1900;;31/12/2099;PLSV2;26/11/2024;26/11/2024;;Limite;-45623;35,49014;73049,00
178;7-MRL-69-RJS;1;-;-;P-35;#N/D;01/01/1900;;31/12/2099;PLSV1;26/11/2024;26/11/2024;;Limite;-45623;55,68965;73049,00
179;7-MRL-68D-RJS;1;-;-;P-26;#N/D;01/01/1900;;31/12/2099;PLSV2;27/11/2024;27/11/2024;;Limite;-45624;147,2918;73049,00
180;7-MRL-62D-RJS;1;-;-;P-20;#N/D;01/01/1900;;31/12/2099;PLSV1;27/11/2024;27/11/2024;;Limite;-45624;151,32234;73049,00
181;8-MRL-61A-RJS;6;-;-;P-26;20/02/2023;25/02/2013;8-MRL-116D-RJS;31/12/2099;PLSV2;28/11/2024;04/12/2024;;;27419;142,27898;31714,00
182;7-MRL-58D-RJS;1;-;-;P-26;#N/D;01/01/1900;;31/12/2099;PLSV1;28/11/2024;28/11/2024;;Limite;-45625;172,17502;73049,00
183;7-MRL-51-RJS;1;-;-;P-35;#N/D;01/01/1900;;31/12/2099;PLSV1;29/11/2024;29/11/2024;;Limite;-45626;68,22685;73049,00
184;7-MRL-47D-RJS;1;-;-;P-19;#N/D;10/12/2007;7-MRL-42-RJS;10/11/2024;PLSV1;30/11/2024;30/11/2024;;Limite;-21;24,056;6180,00
185;7-MRL-43D-RJS;1;-;-;P-19;#N/D;01/01/1900;;31/12/2099;PLSV1;01/12/2024;01/12/2024;;Limite;-45628;141,33673;73049,00
186;7-MRL-42-RJS;10;-;-;P-19;#N/D;15/08/2023;7-MRL-42-RJS;10/11/2024;PLSV1;02/12/2024;12/12/2024;;Limite;-33;157,1306;443,00
187;7-MRL-29D-RJS;1;-;-;P-18;#N/D;01/01/1900;;31/12/2099;PLSV2;05/12/2024;05/12/2024;;Limite;-45632;114,98139;73049,00
188;7-MRL-40D-RJS;1;-;-;P-19;#N/D;01/01/1900;;31/12/2099;PLSV2;06/12/2024;06/12/2024;;Limite;-45633;147,2328;73049,00
189;7-MRL-27D-RJS;1;-;-;P-18;#N/D;01/01/1900;;31/12/2099;PLSV2;07/12/2024;07/12/2024;;Limite;-45634;112,9294;73049,00
190;7-MRL-23D-RJS;1;-;-;P-18;#N/D;01/01/1900;;31/12/2099;PLSV2;08/12/2024;08/12/2024;;Limite;-45635;131,74331;73049,00
191;7-MRL-22D-RJS;1;-;-;P-18;#N/D;01/01/1900;;31/12/2099;PLSV2;09/12/2024;09/12/2024;;Limite;-45636;198,79509;73049,00
192;7-MRL-54-RJS;1;-;-;P-19;#N/D;01/01/1900;;31/12/2099;PLSV2;10/12/2024;10/12/2024;;Limite;-45637;93,3385;73049,00
193;7-MRL-88H-RJS;1;-;-;P-33;#N/D;01/01/1900;;31/12/2099;PLSV2;11/12/2024;11/12/2024;;Limite;-45638;177,35394;73049,00
